ID,English,Mixed,POS,taggedMixed,taggedPOS
58_1,what's my next turn,nanna next turn yenu,k_pronoun e_adjective e_verb k_adverb,<s> nanna next turn yenu <e>,<s> k_pronoun e_adjective e_verb k_adverb <e>
58_2,what's my next turn,what is my next saradi,e_adverb e_verb e_pronoun e_adjective k_noun,<s> what is my next saradi <e>,<s> e_adverb e_verb e_pronoun e_adjective k_noun <e>
58_3,what's my next turn,what is my mundina saradi,e_adverb e_verb e_pronoun k_adjective k_noun,<s> what is my mundina saradi <e>,<s> e_adverb e_verb e_pronoun k_adjective k_noun <e>
62_1,how is  the traffic ahead,how is the datthane ahead,e_adverb e_verb e_article k_noun e_adverb,<s> how is the datthane ahead <e>,<s> e_adverb e_verb e_article k_noun e_adverb <e>
62_2,how is  the traffic ahead,munde traffic hegidhe,k_adverb e_noun k_adverb,<s> munde traffic hegidhe <e>,<s> k_adverb e_noun k_adverb <e>
62_3,how is  the traffic ahead,how is the datthane munde,e_adverb e_verb e_article k_noun k_adverb,<s> how is the datthane munde <e>,<s> e_adverb e_verb e_article k_noun k_adverb <e>
63_1,what are the nearby gas stations,what are the nearby anila stations,e_adverb e_verb e_article e_adverb k_noun e_noun,<s> what are the nearby anila stations <e>,<s> e_adverb e_verb e_article e_adverb k_noun e_noun <e>
63_2,what are the nearby gas stations,what are the nearby gas kendragalu,e_adverb e_verb e_article e_adverb e_noun k_noun,<s> what are the nearby gas kendragalu <e>,<s> e_adverb e_verb e_article e_adverb e_noun k_noun <e>
63_3,what are the nearby gas stations,what are the nearby anila kendragalu,e_adverb e_verb e_article e_adverb k_noun k_noun,<s> what are the nearby anila kendragalu <e>,<s> e_adverb e_verb e_article e_adverb k_noun k_noun <e>
63_4,what are the nearby gas stations,hathira gas stations yavdu,k_adjective e_noun e_noun k_adverb,<s> hathira gas stations yavdu <e>,<s> k_adjective e_noun e_noun k_adverb <e>
63_5,what are the nearby gas stations,hathira gas kendragalu yavdu,k_adjective e_noun k_noun k_adverb,<s> hathira gas kendragalu yavdu <e>,<s> k_adjective e_noun k_noun k_adverb <e>
63_6,what are the nearby gas stations,hathira anila stations yavdu,k_adjective k_noun e_noun k_adverb,<s> hathira anila stations yavdu <e>,<s> k_adjective k_noun e_noun k_adverb <e>
106_1,are there any sports grounds near me,are there any kredaa mydana near me,e_verb e_adverb e_pronoun k_noun k_noun e_preposition e_pronoun,<s> are there any kredaa mydana near me <e>,<s> e_verb e_adverb e_pronoun k_noun k_noun e_preposition e_pronoun <e>
106_2,are there any sports grounds near me,nanna hathira yavude sports ground idhya,k_pronoun k_adjective k_pronoun e_noun k_noun k_adverb,<s> nanna hathira yavude sports ground idhya <e>,<s> k_pronoun k_adjective k_pronoun e_noun k_noun k_adverb <e>
106_3,are there any sports grounds near me,are there any sports mydana near me,e_verb e_adverb e_pronoun e_noun k_noun e_preposition e_pronoun,<s> are there any sports mydana near me <e>,<s> e_verb e_adverb e_pronoun e_noun k_noun e_preposition e_pronoun <e>
106_4,are there any sports grounds near me,are there any kredaa grounds near me,e_verb e_adverb e_pronoun k_noun e_noun e_preposition e_pronoun,<s> are there any kredaa grounds near me <e>,<s> e_verb e_adverb e_pronoun k_noun e_noun e_preposition e_pronoun <e>
69_1,what are some good nearby places to visit,what are some good nearby stalagalu to visit,e_adverb e_verb e_adjective e_adjective e_adjective k_noun e_preposition e_verb,<s> what are some good nearby stalagalu to visit <e>,<s> e_adverb e_verb e_adjective e_adjective e_adjective k_noun e_preposition e_verb <e>
69_2,what are some good nearby places to visit,what are some uttama hathiradha places to visit,e_adverb e_verb e_adjective k_adjective k_adverb e_noun e_preposition e_verb,<s> what are some uttama hathiradha places to visit <e>,<s> e_adverb e_verb e_adjective k_adjective k_adverb e_noun e_preposition e_verb <e>
69_3,what are some good nearby places to visit,what are some uttama hathiradha stalagalu to visit,e_adverb e_verb e_adjective k_adjective k_adverb k_noun e_preposition e_verb,<s> what are some uttama hathiradha stalagalu to visit <e>,<s> e_adverb e_verb e_adjective k_adjective k_adverb k_noun e_preposition e_verb <e>
69_4,what are some good nearby places to visit,bheti needalu hathiradha good places yavuvu,k_verb k_verb k_adverb e_adjective e_noun k_adverb,<s> bheti needalu hathiradha good places yavuvu <e>,<s> k_verb k_verb k_adverb e_adjective e_noun k_adverb <e>
75_1,When does the nearest park open,hathiradha park yaavaaga thereyuthadhe,k_adjective e_noun k_adverb k_verb,<s> hathiradha park yaavaaga thereyuthadhe <e>,<s> k_adjective e_noun k_adverb k_verb <e>
75_2,When does the nearest park open,When does the nearest udhyaana open,e_adverb e_verb e_article e_adjective k_noun e_verb,<s> When does the nearest udhyaana open <e>,<s> e_adverb e_verb e_article e_adjective k_noun e_verb <e>
75_3,When does the nearest park open,hathiradha udhyaanavu yaavaaga open aagothe,k_adjective k_noun k_adverb e_verb k_verb,<s> hathiradha udhyaanavu yaavaaga open aagothe <e>,<s> k_adjective k_noun k_adverb e_verb k_verb <e>
79_1,Plumbing service near me,Nanna hathira iro plumbing service,k_pronoun k_adjective k_preposition e_noun e_noun,<s> Nanna hathira iro plumbing service <e>,<s> k_pronoun k_adjective k_preposition e_noun e_noun <e>
79_2,Plumbing service near me,Hathira iro kolaayi service,k_adjective k_preposition k_verb e_noun,<s> Hathira iro kolaayi service <e>,<s> k_adjective k_preposition k_verb e_noun <e>
79_3,Plumbing service near me,Hathira iro plumbing service,k_adjective k_preposition e_noun e_noun,<s> Hathira iro plumbing service <e>,<s> k_adjective k_preposition e_noun e_noun <e>
100_1,Job openings near me,hathiradha job openings,k_adverb e_noun e_verb,<s> hathiradha job openings <e>,<s> k_adverb e_noun e_verb <e>
100_2,Job openings near me,Udhyogavakaasha near me,k_adjective e_preposition e_pronoun,<s> Udhyogavakaasha near me <e>,<s> k_adjective e_preposition e_pronoun <e>
100_3,Job openings near me,Kelasa openings near me,k_noun e_verb e_preposition e_pronoun,<s> Kelasa openings near me <e>,<s> k_noun e_verb e_preposition e_pronoun <e>
101_1,Where is the nearest zoo,where is the nearest mrgaalaya,e_adverb e_verb e_article e_adjective e_noun,<s> where is the nearest mrgaalaya <e>,<s> e_adverb e_verb e_article e_adjective e_noun <e>
101_2,Where is the nearest zoo,hathiradha zoo yelli,k_adjective e_noun k_adverb,<s> hathiradha zoo yelli <e>,<s> k_adjective e_noun k_adverb <e>
101_3,Where is the nearest zoo,where is hathiradha zoo,e_adverb e_verb k_adjective e_noun,<s> where is hathiradha zoo <e>,<s> e_adverb e_verb k_adjective e_noun <e>
103_1,what is the frequency of metro train,what is the frequency of metro railu,e_adverb e_verb e_article e_noun e_preposition e_noun k_noun,<s> what is the frequency of metro railu <e>,<s> e_adverb e_verb e_article e_noun e_preposition e_noun k_noun <e>
103_2,what is the frequency of metro train,metro train aavartana yeshtu,e_noun e_noun k_adjective k_adverb,<s> metro train aavartana yeshtu <e>,<s> e_noun e_noun k_adjective k_adverb <e>
103_3,what is the frequency of metro train,what is the aavartana of metro train,e_adverb e_verb e_article k_adjective e_preposition e_noun e_noun,<s> what is the aavartana of metro train <e>,<s> e_adverb e_verb e_article k_adjective e_preposition e_noun e_noun <e>
104_1,what is the charge for a car in the next tollgate,what is the charge for a car in mundina tollgate,e_adverb  e_verb e_article e_noun e_preposition e_article e_noun e_preposition k_adjective e_noun,<s> what is the charge for a car in mundina tollgate <e>,<s> e_adverb e_verb e_article e_noun e_preposition e_article e_noun e_preposition k_adjective e_noun <e>
104_2,what is the charge for a car in the next tollgate,what is the shulka for a car in next tollgate,e_adverb e_verb e_article k_noun e_preposition e_article e_noun e_preposition e_adjective e_noun,<s> what is the shulka for a car in next tollgate <e>,<s> e_adverb e_verb e_article k_noun e_preposition e_article e_noun e_preposition e_adjective e_noun <e>
104_3,what is the charge for a car in the next tollgate,what is the shulka for a car in mundina tollgate,e_adverb e_verb e_article k_noun e_preposition e_article e_noun e_preposition k_adjective e_noun,<s> what is the shulka for a car in mundina tollgate <e>,<s> e_adverb e_verb e_article k_noun e_preposition e_article e_noun e_preposition k_adjective e_noun <e>
104_4,what is the charge for a car in the next tollgate,next tollgate nalli car ge yeshtu shulka,e_adjective e_noun k_preposition e_noun k_preposition k_adverb k_noun,<s> next tollgate nalli car ge yeshtu shulka <e>,<s> e_adjective e_noun k_preposition e_noun k_preposition k_adverb k_noun <e>
106_1,are there any sports grounds near me,are there any kredaa mydana near me,e_verb e_adverb e_pronoun k_noun k_noun e_preposition e_pronoun,<s> are there any kredaa mydana near me <e>,<s> e_verb e_adverb e_pronoun k_noun k_noun e_preposition e_pronoun <e>
106_2,are there any sports grounds near me,nanna hathira yavude sports ground idhya,k_pronoun k_adjective k_pronoun e_noun k_noun k_adverb,<s> nanna hathira yavude sports ground idhya <e>,<s> k_pronoun k_adjective k_pronoun e_noun k_noun k_adverb <e>
106_3,are there any sports grounds near me,are there any sports mydana near me,e_verb e_adverb e_pronoun e_noun k_noun e_preposition e_pronoun,<s> are there any sports mydana near me <e>,<s> e_verb e_adverb e_pronoun e_noun k_noun e_preposition e_pronoun <e>
106_4,are there any sports grounds near me,are there any kredaa grounds near me,e_verb e_adverb e_pronoun k_noun e_noun e_preposition e_pronoun,<s> are there any kredaa grounds near me <e>,<s> e_verb e_adverb e_pronoun k_noun e_noun e_preposition e_pronoun <e>
107_1,what is the best time to visit a beach,what is the uttama samaya to visit beach,e_adverb e_verb e_article k_adjective k_noun e_preposition e_verb e_noun,<s> what is the uttama samaya to visit beach <e>,<s> e_adverb e_verb e_article k_adjective k_noun e_preposition e_verb e_noun <e>
107_2,what is the best time to visit a beach,what is the best time to visit kadalateera,e_adverb e_verb e_article e_adjective e_noun e_preposition e_verb k_noun,<s> what is the best time to visit kadalateera <e>,<s> e_adverb e_verb e_article e_adjective e_noun e_preposition e_verb k_noun <e>
107_3,what is the best time to visit a beach,beach visit madakke best time yenu,e_noun e_verb k_verb  e_adjective e_noun k_adverb,<s> beach visit madakke best time yenu <e>,<s> e_noun e_verb k_verb e_adjective e_noun k_adverb <e>
107_4,what is the best time to visit a beach,what is the uttama time to visit beach,e_adverb e_verb e_article k_adjective e_noun e_preposition e_verb e_noun,<s> what is the uttama time to visit beach <e>,<s> e_adverb e_verb e_article k_adjective e_noun e_preposition e_verb e_noun <e>
108_1,what time is the sunset,what time is suryastha,e_adverb e_noun e_verb k_noun,<s> what time is suryastha <e>,<s> e_adverb e_noun e_verb k_noun <e>
108_2,what time is the sunset,sunset samaya yenu,e_noun k_noun k_adverb,<s> sunset samaya yenu <e>,<s> e_noun k_noun k_adverb <e>
108_3,what time is the sunset,suryastha time yenu,k_noun e_noun k_adverb,<s> suryastha time yenu <e>,<s> k_noun e_noun k_adverb <e>
108_4,what time is the sunset,what samaya is the sunset,e_adverb k_noun e_verb e_article e_noun,<s> what samaya is the sunset <e>,<s> e_adverb k_noun e_verb e_article e_noun <e>